2025-08-19 00:10:50,446 - Using David's voice: Microsoft David Desktop - English (United States)
2025-08-19 00:10:50,448 - Text-to-speech engine initialized with optimized audio output
2025-08-19 00:11:20,571 - Whisper model loaded successfully
2025-08-19 00:11:20,571 - Using small Vosk model: models/vosk-model-small-en-us-0.15
2025-08-19 00:11:22,141 - Vosk speech recognition initialized
2025-08-19 00:11:22,343 - Using working microphone device 2: Microsoft Sound Mapper - Output
2025-08-19 00:11:23,409 - JARVIS Assistant started
2025-08-19 00:11:23,409 - Starting JARVIS components...
2025-08-19 00:11:23,421 - Activity monitoring started
2025-08-19 00:11:23,438 - System Event: PROCESS_STARTED - chrome.exe
2025-08-19 00:11:23,452 - Started in text-only mode - audio input disabled
2025-08-19 00:11:23,645 - System Event: PROCESS_STARTED - chrome.exe
2025-08-19 00:11:23,649 - System Event: PROCESS_STARTED - chrome.exe
2025-08-19 00:11:23,649 - System Event: PROCESS_STARTED - chrome.exe
2025-08-19 00:11:23,653 - System Event: PROCESS_STARTED - chrome.exe
2025-08-19 00:11:23,653 - System Event: PROCESS_STARTED - chrome.exe
2025-08-19 00:11:23,653 - System Event: PROCESS_STARTED - chrome.exe
2025-08-19 00:11:24,133 - System tray started
2025-08-19 00:11:24,134 - Speaking: JARVIS assistant is now active and ready for commands
2025-08-19 00:11:24,134 - JARVIS Assistant fully started
2025-08-19 00:11:24,667 - System Event: SYSTEM_STATUS - System Status - CPU: 8.9%, Memory: 16.3%, Disk: 99.2%, Network: 1.16MB sent, 3.05MB received
2025-08-19 00:11:55,689 - System Event: SYSTEM_STATUS - System Status - CPU: 21.8%, Memory: 17.0%, Disk: 99.2%, Network: 1.42MB sent, 4.6MB received
2025-08-19 00:12:26,707 - System Event: SYSTEM_STATUS - System Status - CPU: 1.4%, Memory: 16.7%, Disk: 99.2%, Network: 1.56MB sent, 4.67MB received
2025-08-19 00:12:57,754 - System Event: SYSTEM_STATUS - System Status - CPU: 0.0%, Memory: 17.2%, Disk: 99.2%, Network: 1.6MB sent, 4.73MB received
2025-08-19 00:13:28,773 - System Event: SYSTEM_STATUS - System Status - CPU: 0.0%, Memory: 17.1%, Disk: 99.2%, Network: 1.62MB sent, 4.75MB received
2025-08-19 00:13:59,789 - System Event: SYSTEM_STATUS - System Status - CPU: 0.8%, Memory: 17.2%, Disk: 99.2%, Network: 1.83MB sent, 4.94MB received
2025-08-19 00:14:30,806 - System Event: SYSTEM_STATUS - System Status - CPU: 0.2%, Memory: 16.7%, Disk: 99.2%, Network: 1.93MB sent, 4.99MB received
2025-08-19 00:15:00,810 - System Event: PROCESS_STARTED - cmd.exe
2025-08-19 00:15:01,821 - System Event: SYSTEM_STATUS - System Status - CPU: 1.6%, Memory: 16.8%, Disk: 99.2%, Network: 2.0MB sent, 5.07MB received
2025-08-19 00:15:32,842 - System Event: SYSTEM_STATUS - System Status - CPU: 1.0%, Memory: 16.8%, Disk: 99.2%, Network: 2.01MB sent, 5.11MB received
2025-08-19 00:16:03,858 - System Event: SYSTEM_STATUS - System Status - CPU: 0.6%, Memory: 16.8%, Disk: 99.1%, Network: 2.05MB sent, 5.18MB received
2025-08-19 00:16:34,876 - System Event: SYSTEM_STATUS - System Status - CPU: 0.0%, Memory: 16.8%, Disk: 99.1%, Network: 2.08MB sent, 5.2MB received
2025-08-19 00:17:05,891 - System Event: SYSTEM_STATUS - System Status - CPU: 0.2%, Memory: 16.8%, Disk: 99.1%, Network: 2.1MB sent, 5.21MB received
2025-08-19 00:17:36,909 - System Event: SYSTEM_STATUS - System Status - CPU: 0.4%, Memory: 16.8%, Disk: 99.1%, Network: 2.1MB sent, 5.21MB received
2025-08-19 00:18:07,926 - System Event: SYSTEM_STATUS - System Status - CPU: 1.0%, Memory: 16.8%, Disk: 99.1%, Network: 2.12MB sent, 5.24MB received
2025-08-19 00:18:38,942 - System Event: SYSTEM_STATUS - System Status - CPU: 0.0%, Memory: 16.8%, Disk: 99.1%, Network: 2.13MB sent, 5.25MB received
2025-08-19 00:19:09,957 - System Event: SYSTEM_STATUS - System Status - CPU: 5.2%, Memory: 16.7%, Disk: 99.1%, Network: 2.15MB sent, 5.27MB received
2025-08-19 00:19:40,975 - System Event: SYSTEM_STATUS - System Status - CPU: 2.3%, Memory: 16.7%, Disk: 99.1%, Network: 2.16MB sent, 5.27MB received
2025-08-19 00:20:12,009 - System Event: SYSTEM_STATUS - System Status - CPU: 1.0%, Memory: 16.8%, Disk: 99.1%, Network: 2.21MB sent, 5.36MB received
2025-08-19 00:20:43,028 - System Event: SYSTEM_STATUS - System Status - CPU: 0.4%, Memory: 16.8%, Disk: 99.1%, Network: 2.37MB sent, 5.54MB received
2025-08-19 00:21:14,044 - System Event: SYSTEM_STATUS - System Status - CPU: 1.0%, Memory: 16.8%, Disk: 99.1%, Network: 2.39MB sent, 5.57MB received
2025-08-19 00:21:45,059 - System Event: SYSTEM_STATUS - System Status - CPU: 0.2%, Memory: 16.7%, Disk: 99.1%, Network: 2.4MB sent, 5.58MB received
2025-08-19 00:22:16,076 - System Event: SYSTEM_STATUS - System Status - CPU: 0.6%, Memory: 16.8%, Disk: 99.1%, Network: 2.42MB sent, 5.61MB received
2025-08-19 00:22:47,092 - System Event: SYSTEM_STATUS - System Status - CPU: 0.2%, Memory: 16.7%, Disk: 99.1%, Network: 2.43MB sent, 5.63MB received
2025-08-19 00:23:18,109 - System Event: SYSTEM_STATUS - System Status - CPU: 0.2%, Memory: 16.7%, Disk: 99.1%, Network: 2.46MB sent, 5.65MB received
2025-08-19 00:23:49,124 - System Event: SYSTEM_STATUS - System Status - CPU: 0.0%, Memory: 16.7%, Disk: 99.1%, Network: 2.47MB sent, 5.66MB received
2025-08-19 00:24:20,141 - System Event: SYSTEM_STATUS - System Status - CPU: 0.6%, Memory: 16.7%, Disk: 99.1%, Network: 2.47MB sent, 5.67MB received
2025-08-19 00:24:51,164 - System Event: SYSTEM_STATUS - System Status - CPU: 0.0%, Memory: 16.7%, Disk: 99.1%, Network: 2.51MB sent, 5.71MB received
2025-08-19 00:25:22,184 - System Event: SYSTEM_STATUS - System Status - CPU: 0.2%, Memory: 16.7%, Disk: 99.1%, Network: 2.52MB sent, 5.72MB received
2025-08-19 00:25:53,199 - System Event: SYSTEM_STATUS - System Status - CPU: 1.8%, Memory: 16.7%, Disk: 99.1%, Network: 2.55MB sent, 5.76MB received
2025-08-19 00:26:24,215 - System Event: SYSTEM_STATUS - System Status - CPU: 0.4%, Memory: 16.6%, Disk: 99.1%, Network: 2.56MB sent, 5.76MB received
2025-08-19 00:26:55,231 - System Event: SYSTEM_STATUS - System Status - CPU: 0.0%, Memory: 16.7%, Disk: 99.1%, Network: 2.68MB sent, 5.8MB received
2025-08-19 00:27:26,248 - System Event: SYSTEM_STATUS - System Status - CPU: 0.0%, Memory: 16.7%, Disk: 99.1%, Network: 2.71MB sent, 5.83MB received
2025-08-19 00:27:57,265 - System Event: SYSTEM_STATUS - System Status - CPU: 0.0%, Memory: 16.7%, Disk: 99.1%, Network: 2.73MB sent, 5.85MB received
2025-08-19 00:28:28,279 - System Event: SYSTEM_STATUS - System Status - CPU: 0.2%, Memory: 16.7%, Disk: 99.1%, Network: 2.75MB sent, 5.85MB received
2025-08-19 00:28:59,298 - System Event: SYSTEM_STATUS - System Status - CPU: 0.0%, Memory: 16.7%, Disk: 99.1%, Network: 2.76MB sent, 5.87MB received
2025-08-19 00:29:30,320 - System Event: SYSTEM_STATUS - System Status - CPU: 4.9%, Memory: 16.8%, Disk: 99.1%, Network: 4.06MB sent, 24.9MB received
2025-08-19 00:30:01,353 - System Event: SYSTEM_STATUS - System Status - CPU: 0.6%, Memory: 16.9%, Disk: 99.1%, Network: 4.1MB sent, 24.97MB received
2025-08-19 00:30:32,371 - System Event: SYSTEM_STATUS - System Status - CPU: 0.4%, Memory: 16.9%, Disk: 99.1%, Network: 4.14MB sent, 25.0MB received
2025-08-19 00:31:03,389 - System Event: SYSTEM_STATUS - System Status - CPU: 0.2%, Memory: 16.9%, Disk: 99.1%, Network: 4.16MB sent, 25.03MB received
2025-08-19 00:31:34,431 - System Event: SYSTEM_STATUS - System Status - CPU: 4.1%, Memory: 16.9%, Disk: 99.1%, Network: 4.18MB sent, 25.04MB received
2025-08-19 00:32:05,447 - System Event: SYSTEM_STATUS - System Status - CPU: 0.0%, Memory: 16.8%, Disk: 99.1%, Network: 4.19MB sent, 25.09MB received
2025-08-19 00:32:36,466 - System Event: SYSTEM_STATUS - System Status - CPU: 0.2%, Memory: 16.8%, Disk: 99.1%, Network: 4.2MB sent, 25.1MB received
2025-08-19 00:33:07,482 - System Event: SYSTEM_STATUS - System Status - CPU: 0.2%, Memory: 16.8%, Disk: 99.1%, Network: 4.21MB sent, 25.11MB received
2025-08-19 00:33:38,497 - System Event: SYSTEM_STATUS - System Status - CPU: 0.0%, Memory: 16.8%, Disk: 99.1%, Network: 4.23MB sent, 25.13MB received
2025-08-19 00:34:09,513 - System Event: SYSTEM_STATUS - System Status - CPU: 0.0%, Memory: 16.8%, Disk: 99.1%, Network: 4.24MB sent, 25.15MB received
2025-08-19 00:34:40,530 - System Event: SYSTEM_STATUS - System Status - CPU: 0.2%, Memory: 16.8%, Disk: 99.1%, Network: 4.25MB sent, 25.16MB received
2025-08-19 00:35:11,554 - System Event: SYSTEM_STATUS - System Status - CPU: 8.5%, Memory: 16.8%, Disk: 99.1%, Network: 4.27MB sent, 25.18MB received
2025-08-19 00:35:42,572 - System Event: SYSTEM_STATUS - System Status - CPU: 0.2%, Memory: 16.8%, Disk: 99.1%, Network: 4.28MB sent, 25.18MB received
2025-08-19 00:36:13,591 - System Event: SYSTEM_STATUS - System Status - CPU: 2.0%, Memory: 16.8%, Disk: 99.1%, Network: 4.34MB sent, 25.29MB received
2025-08-19 00:36:44,608 - System Event: SYSTEM_STATUS - System Status - CPU: 0.6%, Memory: 16.7%, Disk: 99.1%, Network: 4.38MB sent, 25.32MB received
2025-08-19 00:37:15,624 - System Event: SYSTEM_STATUS - System Status - CPU: 1.2%, Memory: 16.7%, Disk: 99.1%, Network: 4.39MB sent, 25.34MB received
2025-08-19 00:37:46,645 - System Event: SYSTEM_STATUS - System Status - CPU: 0.0%, Memory: 16.7%, Disk: 99.1%, Network: 4.42MB sent, 25.36MB received
2025-08-19 00:38:17,661 - System Event: SYSTEM_STATUS - System Status - CPU: 0.0%, Memory: 16.7%, Disk: 99.1%, Network: 4.43MB sent, 25.37MB received
2025-08-19 00:38:48,678 - System Event: SYSTEM_STATUS - System Status - CPU: 0.2%, Memory: 16.7%, Disk: 99.1%, Network: 4.46MB sent, 25.4MB received
2025-08-19 00:39:19,710 - System Event: SYSTEM_STATUS - System Status - CPU: 1.6%, Memory: 16.9%, Disk: 99.1%, Network: 4.47MB sent, 25.4MB received
2025-08-19 00:39:50,731 - System Event: SYSTEM_STATUS - System Status - CPU: 0.0%, Memory: 16.9%, Disk: 99.1%, Network: 4.49MB sent, 25.42MB received
2025-08-19 00:40:21,745 - System Event: SYSTEM_STATUS - System Status - CPU: 0.8%, Memory: 16.7%, Disk: 99.1%, Network: 4.5MB sent, 25.44MB received
2025-08-19 00:40:52,761 - System Event: SYSTEM_STATUS - System Status - CPU: 0.2%, Memory: 16.7%, Disk: 99.1%, Network: 4.55MB sent, 25.5MB received
2025-08-19 00:41:23,779 - System Event: SYSTEM_STATUS - System Status - CPU: 0.0%, Memory: 16.6%, Disk: 99.1%, Network: 4.57MB sent, 25.52MB received
