2025-09-20 02:49:15,854 - pyttsx3 voice: Microsoft David Desktop - English (United States)
2025-09-20 02:49:15,854 - Local pyttsx3 TTS ready
2025-09-20 02:49:32,136 - Whisper model loaded successfully
2025-09-20 02:49:32,137 - Using small Vosk model: models/vosk-model-small-en-us-0.15
2025-09-20 02:49:33,044 - Vosk speech recognition initialized
2025-09-20 02:49:33,271 - Using working microphone device 2: Headset (Jabra Evolve2 55 v Han
2025-09-20 02:49:33,295 - Microphone initialized successfully
2025-09-20 02:49:34,712 - JARVIS Assistant started
2025-09-20 02:49:34,713 - Starting JARVIS components...
2025-09-20 02:49:34,719 - Activity monitoring started
2025-09-20 02:49:34,726 - Audio capture loop started with noise filtering
2025-09-20 02:49:34,748 - Speech recognition processing started
2025-09-20 02:49:34,775 - Started listening for hotword
2025-09-20 02:49:34,788 - Keyboard override: Press 'h' key to manually trigger hotword
2025-09-20 02:49:35,805 - System tray started
2025-09-20 02:49:35,806 - Speaking (pyttsx3): JARVIS assistant is now active and ready for commands
2025-09-20 02:49:35,806 - JARVIS Assistant fully started
2025-09-20 02:49:36,194 - System Event: SYSTEM_STATUS - System Status - CPU: 43.8%, Memory: 20.3%, Disk: 97.4%, Network: 3345.14MB sent, 4615.06MB received
2025-09-20 02:50:07,224 - System Event: SYSTEM_STATUS - System Status - CPU: 26.5%, Memory: 21.5%, Disk: 95.7%, Network: 3346.65MB sent, 4645.06MB received
2025-09-20 02:50:38,254 - System Event: SYSTEM_STATUS - System Status - CPU: 40.4%, Memory: 22.5%, Disk: 96.3%, Network: 3348.95MB sent, 4700.87MB received
2025-09-20 02:51:09,288 - System Event: SYSTEM_STATUS - System Status - CPU: 30.8%, Memory: 22.6%, Disk: 96.9%, Network: 3350.44MB sent, 4801.24MB received
2025-09-20 02:51:39,300 - System Event: PROCESS_STARTED - cmd.exe
2025-09-20 02:51:40,312 - System Event: SYSTEM_STATUS - System Status - CPU: 20.9%, Memory: 21.1%, Disk: 96.8%, Network: 3351.37MB sent, 4869.3MB received
2025-09-20 02:52:11,331 - System Event: SYSTEM_STATUS - System Status - CPU: 10.7%, Memory: 20.9%, Disk: 96.8%, Network: 3351.95MB sent, 4910.78MB received
2025-09-20 02:52:42,352 - System Event: SYSTEM_STATUS - System Status - CPU: 17.3%, Memory: 20.9%, Disk: 96.8%, Network: 3352.46MB sent, 4949.25MB received
2025-09-20 02:53:13,368 - System Event: SYSTEM_STATUS - System Status - CPU: 14.5%, Memory: 21.0%, Disk: 96.8%, Network: 3353.07MB sent, 4995.99MB received
2025-09-20 02:53:44,392 - System Event: SYSTEM_STATUS - System Status - CPU: 21.3%, Memory: 20.9%, Disk: 96.8%, Network: 3353.87MB sent, 5056.92MB received
2025-09-20 02:54:15,413 - System Event: SYSTEM_STATUS - System Status - CPU: 15.0%, Memory: 21.1%, Disk: 96.8%, Network: 3354.81MB sent, 5103.0MB received
2025-09-20 02:54:46,443 - System Event: SYSTEM_STATUS - System Status - CPU: 15.1%, Memory: 21.1%, Disk: 96.8%, Network: 3355.32MB sent, 5142.21MB received
